pincode,city,state,district,lat,lon
125201,Hissar,HR,Sirsa,29.82675,74.9754166
126101,Julana,HR,Jind,29.3,25.3
126102,Jind,HR,Jind,28.9,36.3
126110,Jind,HR,Jind,29.45,25.3
126111,Jind,HR,Jind,25.36,32.36
126112,Jind,HR,Jind,22.25,21.12
126113,Jind,HR,Jind,75.9966111,29.5286111
126114,Jind,HR,Jind,29.5902777,76.1099166
126115,Uchana,HR,Jind,28.3,32.5
126116,Jind,HR,Jind,25.3,25.3
126125,Jind,HR,Jind,29.45,36.3
126152,Jind,HR,Jind,29.5902777,76.1099166
127021,Bhiwani,HR,Bhiwani,28.7752,75.9928
127022,Charki Dadri,HR,Charki Dadri,28.4614,76.2609
127025,Charki Dadri,HR,Charki Dadri,28.7784,76.3418
127026,Charki Dadri,HR,Charki Dadri,28.5997,76.1517
127027,Bhiwani,HR,Bhiwani,28.8837,76.2392
127028,Bhiwani,HR,Bhiwani,28.6296,75.6179
127029,Bhiwani,HR,Bhiwani,28.6995,75.8708
127030,Bhiwani,HR,Bhiwani,28.6358,75.9434
127031,Bhiwani,HR,Bhiwani,28.862,76.1407
127032,Bhiwani,HR,Bhiwani,28.9449,76.0334
127035,Bhiwani,HR,Bhiwani,28.9639,75.9565
127040,Bhiwani,HR,Bhiwani,28.8725,75.9144
127041,Bhiwani,HR,Bhiwani,28.9734,76.1958
127042,Charki Dadri,HR,Charki Dadri,28.7129,76.2911
127043,Bhiwani,HR,Bhiwani,28.7218,75.7664
127045,Bhiwani,HR,Bhiwani,28.9648,75.6063
127046,Bhiwani,HR,Bhiwani,28.9084,75.6121
127111,Bhiwani,HR,Bhiwani,28.8199,76.0653
127114,Bhiwani,HR,Bhiwani,28.828,76.3087
127201,Bhiwani,HR,Bhiwani,28.4267,75.804
127306,Charki Dadri,HR,Charki Dadri,28.5921,76.2653
127307,Charki Dadri,HR,Charki Dadri,28.6745,76.3707
127308,Charki Dadri,HR,Charki Dadri,28.5094,75.9376
127309,Bhiwani,HR,Bhiwani,28.7084,76.22
127310,Charki Dadri,HR,Charki Dadri,28.5216,76.1508
127311,Bhiwani,HR,Bhiwani,28.7158,76.1414
127312,Charki Dadri,HR,Charki Dadri,28.5074,76.0695
131001,Sonepat,HR,Sonipat,29.01,76.96
131021,Sonepat,HR,Sonipat,28.96,77.08
131022,Sonepat,HR,Sonipat,21.15,81.71
131023,Sonepat,HR,Sonipat,29.05,76.91
131024,Sonepat,HR,Sonipat,29.06,76.9
131027,Sonepat,HR,Sonipat,29.03,77.07
131028,Sonepat,HR,Sonipat,29.05,76.91
131029,Sonepat,HR,Sonipat,28.98,77.1
131030,Sonepat,HR,Sonipat,28.4391,77.3009
131039,Sonipat,HR,Sonipat,29.02,77.06
131101,Ganaur,HR,Sonipat,29.13,77.01
131102,Sonepat,HR,Sonipat,28.98,77.1
131103,Sonepat,HR,Sonipat,28.88,77.1
131301,Sonipat,HR,Sonipat,29.13,76.69
131302,Sonipat,HR,Sonipat,29.18,76.62
